,DELIVERY_PARTNER_ID,partner_name,city,vehicle_type,employment_type,avg_rating,is_active
0,DP00001,Manoj S,Kolkata,Scooter,Contract,3.96,Y
1,DP00002,Amit D,Kolkata,Cycle,Part-time,4.22,Y
2,DP00003,Suresh I,Delhi,Cycle,Part-time,4.45,Y
3,DP00004,Shreya D,Mumbai,Scooter,Contract,3.93,Y
4,DP00005,Suresh T,Mumbai,Scooter,Full-time,4.42,Y
5,DP00006,Divya K,Pune,Scooter,Part-time,4.08,Y
6,DP00007,Meena S,Delhi,Scooter,Full-time,3.71,Y
7,DP00008,Rakesh R,Bengaluru,Bike,Full-time,4.65,Y
8,DP00009,Ananya V,Bengaluru,Scooter,Full-time,4.05,Y
9,DP00010,Santosh N,Delhi,Bike,Contract,3.94,Y
10,DP00011,Amit G,Chennai,Cycle,Part-time,4.56,Y
11,DP00012,Ravi W,Pune,Scooter,Contract,4.27,Y
12,DP00013,Neha G,Delhi,Scooter,Full-time,4.42,Y
13,DP00014,Rahul O,Mumbai,Scooter,Contract,3.8,Y
14,DP00015,Ananya N,Chennai,Bike,Full-time,4.62,Y
15,DP00016,Santosh X,Pune,Bike,Part-time,3.77,Y
16,DP00017,Kiran N,Chennai,Bike,Full-time,4.09,Y
17,DP00018,Rakesh M,Bengaluru,Scooter,Full-time,4.08,Y
18,DP00019,Ananya C,Bengaluru,Scooter,Full-time,4.41,Y
19,DP00020,Meena F,Kolkata,Scooter,Contract,4.22,Y
20,DP00021,Priya F,Hyderabad,Scooter,Contract,3.82,Y
21,DP00022,Manoj H,Delhi,Scooter,Part-time,4.45,Y
22,DP00023,Santosh D,Ahmedabad,Cycle,Full-time,4.47,Y
23,DP00024,Kiran R,Pune,Scooter,Part-time,4.5,N
24,DP00025,Divya P,Delhi,Scooter,Full-time,3.37,Y
25,DP00026,Amit Z,Delhi,Bike,Full-time,3.84,Y
26,DP00027,Divya G,Mumbai,Car,Full-time,3.84,N
27,DP00028,Nikhil Z,Pune,Scooter,Full-time,4.14,Y
28,DP00029,Ravi E,Delhi,Scooter,Full-time,3.85,Y
29,DP00030,Amit V,Delhi,Bike,Contract,3.98,Y
30,DP00031,Ravi J,Pune,Scooter,Part-time,3.96,Y
31,DP00032,Amit O,Kolkata,Scooter,Full-time,4.62,Y
32,DP00033,Suresh G,Pune,Bike,Part-time,4.31,Y
33,DP00034,Santosh P,Delhi,Bike,Contract,4.12,Y
34,DP00035,Vikas L,Bengaluru,Scooter,Full-time,4.16,Y
35,DP00036,Priya F,Ahmedabad,Bike,Part-time,4.13,Y
36,DP00037,Nikhil T,Pune,Bike,Full-time,4.6,Y
37,DP00038,Deepak E,Pune,Scooter,Full-time,3.71,Y
38,DP00039,Nikhil Q,Ahmedabad,Scooter,Part-time,4.34,Y
