delivery_partner_id,partner_name,city,vehicle_type,employment_type,avg_rating,is_active
DP09615,Neha E,Bengaluru,Scooter,Full-time,3.77,Y
DP02021,Neha V,Bengaluru,Bike,Full-time,3.9,Y
DP05541,Vikas S,Delhi,Cycle,Part-time,3.33,Y
DP13859,Amit B,Delhi,Cycle,Part-time,4.07,N
DP08091,Arjun R,Mumbai,Car,Full-time,4.63,Y
DP14063,Divya M,Chennai,Scooter,Full-time,3.84,Y
DP07728,Ravi O,Bengaluru,Scooter,Full-time,4.63,Y
DP01276,Suresh O,Delhi,Bike,Contract,4.34,Y
DP03078,Deepak E,Delhi,Bike,Full-time,4.83,Y
DP08227,Sneha W,Ahmedabad,Scooter,Part-time,4.33,N
DP11625,Meena N,Mumbai,Cycle,Full-time,3.59,Y
DP03817,Sneha U,Delhi,Bike,Full-time,4.12,Y
DP11899,Priya U,Delhi,Bike,Part-time,4.33,Y
DP10285,Kiran U,Chennai,Bike,Contract,3.92,Y
DP06552,Vikas Q,Bengaluru,Bike,Part-time,4.64,Y
DP05758,Priya X,Chennai,Bike,Contract,4.57,Y
DP12003,Manoj M,Pune,Cycle,Contract,3.76,Y
DP13191,Arjun Z,Mumbai,Scooter,Contract,4.41,Y
DP13337,Amit M,Hyderabad,Scooter,Part-time,4.01,Y
DP07869,Ananya P,Bengaluru,Bike,Part-time,3.94,Y
DP14443,Shreya R,Ahmedabad,Scooter,Contract,4.32,Y
DP13891,Shreya U,Delhi,Car,Full-time,4.0,Y
DP13979,Nikhil D,Pune,Bike,Contract,4.07,Y
DP01521,Kiran A,Pune,Scooter,Contract,4.48,Y
DP04031,Arjun J,Kolkata,Bike,Part-time,4.07,Y
DP09740,Santosh R,Kolkata,Bike,Full-time,3.95,N
DP01258,Meena W,Bengaluru,Scooter,Contract,4.24,Y
DP09979,Vikas M,Pune,Cycle,Full-time,4.9,Y
DP08630,Sneha B,Bengaluru,Scooter,Contract,4.07,Y
DP09746,Vikas Z,Ahmedabad,Scooter,Contract,4.88,Y
DP09092,Ananya F,Bengaluru,Bike,Full-time,4.04,Y
DP03077,Meena G,Delhi,Bike,Full-time,4.2,Y
DP09794,Sneha C,Bengaluru,Bike,Contract,4.22,Y
DP08695,Ananya L,Ahmedabad,Bike,Full-time,4.01,Y
DP02363,Divya S,Bengaluru,Scooter,Contract,4.45,Y
DP02333,Ananya B,Bengaluru,Scooter,Part-time,4.69,Y
DP02395,Shreya H,Pune,Cycle,Full-time,3.95,Y
DP11158,Meena I,Mumbai,Cycle,Full-time,4.01,Y
DP02663,Divya J,Mumbai,Cycle,Part-time,4.08,Y
DP04968,Pooja Z,Bengaluru,Bike,Full-time,5.0,Y
DP01370,Kiran E,Ahmedabad,Cycle,Part-time,3.63,Y
DP11740,Deepak G,Ahmedabad,Scooter,Full-time,3.5,Y
DP02710,Amit M,Bengaluru,Car,Part-time,4.38,Y
DP08694,Ravi P,Bengaluru,Scooter,Full-time,4.12,Y
DP07695,Divya V,Kolkata,Scooter,Full-time,4.27,Y
DP12739,Vikas K,Kolkata,Bike,Contract,4.13,Y
DP12185,Rahul B,Ahmedabad,Bike,Full-time,4.25,N
DP05973,Meena L,Bengaluru,Bike,Part-time,4.47,Y
DP10806,Pooja M,Delhi,Bike,Full-time,4.52,Y
DP04226,Neha Z,Bengaluru,Bike,Part-time,4.69,Y
